,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
614,Eastern,Kerala,Jhansi,9,Market,1759,2.9,3.8,244,Yes,Many,Recreational,Afternoon
615,Northern,Odisha,Bareilly,4,Garden,1554,3.9,5.0,315,Yes,None,Religious,Afternoon
616,Western,Uttar Pradesh,Panipat,24,Palace,1539,2.9,3.3,491,Yes,Few,Recreational,Morning
617,Northern,Odisha,Koraput,18,Garden,2005,2.6,3.6,484,No,None,Historical,Evening
618,Southern,Maharashtra,Kasaragod,49,Mosque,1598,3.2,3.5,406,Yes,Many,Local,Morning
619,Eastern,West Bengal,Barasat,8,Beach,1881,2.3,3.3,500,Yes,Few,Religious,Morning
620,Western,Uttar Pradesh,Bareilly,33,Palace,1986,4.8,3.4,404,Yes,None,Historical,Morning
621,Southern,Uttar Pradesh,Akola,24,Market,1643,4.0,4.5,292,No,Many,Recreational,Evening
622,Northern,Kerala,Shivamogga,32,Beach,1899,3.7,5.0,431,No,Few,Local,Evening
623,Northern,Gujarat,Navsari,18,Palace,1524,4.9,3.9,446,Yes,Few,Local,Morning
624,Western,West Bengal,Mathura,11,Market,1819,4.9,4.0,218,Yes,None,Scenic,Morning
625,Northern,Delhi,Malda,42,Garden,1759,3.8,3.0,364,Yes,Few,Religious,Morning
626,Eastern,Kerala,Bahadurgarh,46,Mosque,1543,4.1,5.0,444,Yes,None,Scenic,Afternoon
627,Southern,Karnataka,Rohtak,14,Park,1785,2.9,4.9,347,Yes,Many,Religious,Afternoon
628,Eastern,West Bengal,Brahmapur,45,Garden,1901,3.9,3.3,417,Yes,None,Scenic,Morning
629,Southern,Gujarat,Amravati,20,Palace,1819,4.2,3.8,315,Yes,None,Recreational,Afternoon
630,Western,Karnataka,Palakkad,32,Garden,1756,2.8,4.9,303,Yes,None,Local,Afternoon
631,Northern,Uttar Pradesh,Latur,34,Beach,1696,3.6,4.8,231,No,Few,Recreational,Morning
632,Northern,Kerala,Etawah,31,Market,1534,3.2,4.1,339,Yes,Few,Recreational,Afternoon
633,Northern,Uttar Pradesh,Balasore,22,Garden,1799,3.5,3.8,414,Yes,Few,Scenic,Evening
634,Southern,Karnataka,Mysuru,17,Palace,1935,2.6,4.8,448,No,Many,Local,Evening
635,Western,Karnataka,Saharanpur,45,Monument,1741,3.0,4.0,408,No,None,Recreational,Evening
636,Northern,Uttar Pradesh,Mehsana,15,Park,1911,2.8,4.1,493,Yes,None,Religious,Afternoon
637,Eastern,Gujarat,Bahadurgarh,1,Beach,1509,5.0,4.5,253,Yes,Few,Scenic,Morning
638,Eastern,Kerala,Mathura,23,Park,1920,4.6,4.1,355,No,Few,Historical,Morning
639,Western,Karnataka,Kottayam,43,Beach,1968,2.0,3.8,335,Yes,Few,Scenic,Evening
640,Western,West Bengal,Bahadurgarh,49,Beach,1821,4.3,4.1,273,Yes,Few,Recreational,Evening
641,Western,Uttar Pradesh,Bahadurgarh,34,Garden,1625,3.3,4.9,326,No,Few,Historical,Morning
642,Southern,Kerala,Mysuru,46,Monument,1549,4.2,4.7,495,Yes,None,Scenic,Morning
643,Southern,Karnataka,Rayagada,9,Mosque,1842,2.3,4.0,397,Yes,Many,Scenic,Afternoon
644,Southern,Uttar Pradesh,Pathanamthitta,47,Palace,1963,2.9,4.9,474,Yes,None,Local,Afternoon
645,Southern,Uttar Pradesh,Koraput,40,Garden,2012,4.2,3.8,292,No,Many,Recreational,Evening
646,Southern,Gujarat,Bahadurgarh,22,Market,1946,3.4,3.7,207,No,Few,Local,Evening
647,Western,Delhi,Alappuzha,35,Market,1597,2.2,3.1,450,No,Many,Local,Evening
648,Southern,Odisha,Koraput,42,Beach,1703,4.1,4.5,251,No,Many,Local,Morning
649,Eastern,Delhi,Shivamogga,49,Monument,1968,4.2,3.1,433,Yes,None,Scenic,Afternoon
650,Eastern,Uttar Pradesh,Navsari,18,Park,1817,4.5,4.6,467,Yes,Many,Religious,Morning
651,Western,Uttar Pradesh,Chandrapur,27,Mosque,1686,4.8,3.9,323,Yes,Few,Recreational,Morning
652,Southern,Maharashtra,Mathura,9,Palace,1844,2.4,4.1,453,No,Many,Local,Morning
653,Southern,Kerala,Latur,44,Mosque,1540,2.6,4.7,294,No,Few,Historical,Afternoon
654,Eastern,West Bengal,Hisar,19,Garden,1893,2.7,4.8,473,Yes,Few,Local,Morning
655,Southern,Kerala,Chandrapur,29,Park,1979,5.0,3.2,218,No,Many,Religious,Evening
656,Eastern,Odisha,Alappuzha,21,Park,1734,3.4,3.2,323,No,None,Local,Afternoon
657,Eastern,Karnataka,Pathanamthitta,45,Market,1915,3.4,4.8,225,No,None,Religious,Evening
658,Eastern,West Bengal,Pathanamthitta,1,Mosque,1568,2.8,4.8,238,No,Many,Scenic,Morning
659,Northern,Uttar Pradesh,Kasaragod,28,Palace,1726,3.8,3.4,440,Yes,Many,Recreational,Evening
660,Northern,Gujarat,Navsari,17,Mosque,1583,3.9,4.4,335,Yes,Many,Local,Afternoon
661,Western,Maharashtra,Bargarh,32,Palace,2013,3.2,4.3,463,No,Few,Scenic,Afternoon
662,Southern,Uttar Pradesh,Raichur,3,Monument,1757,2.3,4.6,324,Yes,None,Recreational,Morning
663,Northern,Karnataka,Palakkad,44,Monument,1650,4.1,4.3,414,Yes,Many,Local,Afternoon
664,Eastern,Odisha,Hisar,9,Garden,1651,3.6,3.7,273,No,Few,Religious,Evening
665,Western,West Bengal,Basti,36,Park,1635,2.0,3.9,378,No,Many,Recreational,Morning
666,Southern,Kerala,Koraput,18,Beach,1968,2.6,4.9,228,No,Many,Scenic,Evening
667,Southern,West Bengal,Hisar,24,Monument,1729,2.1,4.5,201,No,None,Scenic,Afternoon
668,Northern,Delhi,Mysuru,41,Mosque,1783,4.7,4.1,301,Yes,Few,Recreational,Morning
669,Southern,Uttar Pradesh,Malda,5,Palace,1621,2.2,4.5,454,Yes,Few,Local,Afternoon
670,Northern,Gujarat,Rohtak,3,Beach,1821,4.8,4.1,292,Yes,Few,Historical,Afternoon
671,Southern,Kerala,Bardhaman,48,Palace,1881,4.1,3.7,212,Yes,Many,Scenic,Evening
672,Southern,West Bengal,Krishnanagar,16,Beach,1649,3.5,3.4,446,No,None,Religious,Afternoon
673,Northern,Kerala,Jamnagar,14,Garden,1839,3.3,3.4,408,Yes,Many,Recreational,Afternoon
674,Northern,Gujarat,Rohtak,17,Mosque,1933,3.6,4.8,251,Yes,Many,Recreational,Morning
675,Southern,Kerala,Morbi,23,Beach,1805,2.8,4.2,353,Yes,None,Religious,Evening
676,Western,Maharashtra,Mathura,14,Market,1776,4.4,4.2,243,Yes,Many,Recreational,Morning
677,Western,Maharashtra,Bidar,19,Mosque,1683,4.3,4.4,363,Yes,Few,Scenic,Morning
678,Southern,Karnataka,Malda,18,Park,1884,4.2,4.5,430,No,Few,Historical,Morning
679,Eastern,West Bengal,Krishnanagar,23,Mosque,1763,2.6,4.1,439,No,None,Scenic,Evening
680,Northern,West Bengal,Navsari,29,Garden,1750,3.3,5.0,304,No,Many,Recreational,Morning
681,Northern,Kerala,Gulbarga,22,Beach,1964,4.9,4.6,403,Yes,Many,Recreational,Evening
682,Northern,Maharashtra,Panipat,10,Park,2018,3.6,4.5,251,Yes,None,Local,Morning
683,Eastern,Odisha,Brahmapur,4,Garden,1991,4.0,4.5,328,Yes,Few,Recreational,Afternoon
684,Northern,Uttar Pradesh,Akola,44,Beach,1698,3.8,4.5,346,Yes,None,Religious,Morning
685,Western,Karnataka,Etawah,46,Monument,1891,2.9,3.9,496,No,Few,Historical,Evening
686,Eastern,Kerala,Chandrapur,33,Garden,1601,4.8,3.6,253,Yes,Few,Religious,Afternoon
687,Western,Maharashtra,Hassan,31,Beach,1790,2.0,4.7,448,No,Many,Historical,Evening
688,Western,Uttar Pradesh,Hassan,14,Palace,1665,4.1,4.5,487,Yes,None,Local,Evening
689,Eastern,Uttar Pradesh,Anand,30,Mosque,1696,2.3,5.0,355,No,None,Historical,Evening
690,Northern,Maharashtra,Bareilly,7,Park,1687,4.6,4.9,428,Yes,Many,Religious,Morning
691,Northern,Uttar Pradesh,Malda,17,Garden,1738,2.5,3.4,400,No,Many,Recreational,Evening
692,Western,Uttar Pradesh,Hassan,5,Palace,1975,3.6,4.9,356,No,Few,Religious,Evening
693,Eastern,Gujarat,Chandrapur,27,Beach,1656,2.3,3.9,217,No,Many,Historical,Morning
694,Eastern,West Bengal,Patan,38,Mosque,1990,2.2,3.4,393,Yes,Many,Scenic,Afternoon
695,Western,Karnataka,Palakkad,36,Mosque,1820,3.5,3.2,302,Yes,None,Local,Afternoon
696,Western,Kerala,Jhansi,3,Garden,1516,2.1,5.0,359,No,Few,Religious,Afternoon
697,Northern,Karnataka,Brahmapur,18,Beach,1924,4.6,3.0,243,No,Few,Scenic,Afternoon
698,Western,Gujarat,Mehsana,18,Mosque,1903,2.7,3.3,289,Yes,None,Recreational,Evening
699,Southern,Odisha,Krishnanagar,35,Park,1520,3.0,4.2,395,No,None,Religious,Afternoon
700,Western,Odisha,Latur,21,Palace,1768,3.9,3.9,410,Yes,Few,Scenic,Morning
701,Southern,Uttar Pradesh,Basti,23,Monument,1668,3.8,4.1,478,Yes,Few,Religious,Afternoon
702,Southern,Uttar Pradesh,Bahadurgarh,35,Palace,2016,3.2,3.7,248,No,None,Local,Evening
703,Northern,Uttar Pradesh,Rayagada,1,Garden,1560,2.4,4.3,333,No,None,Historical,Evening
704,Eastern,Delhi,Koraput,3,Palace,1591,3.0,3.6,209,No,Many,Scenic,Afternoon
705,Southern,Odisha,Koraput,27,Beach,2017,2.1,3.3,230,No,Many,Local,Morning
706,Western,Maharashtra,Thrissur,30,Park,1558,3.5,3.3,288,No,Few,Local,Evening
707,Eastern,Delhi,Jalna,38,Garden,2014,2.2,3.3,254,No,Few,Historical,Morning
708,Western,Gujarat,Thrissur,8,Mosque,1502,2.9,4.1,443,Yes,Many,Recreational,Afternoon
709,Northern,West Bengal,Koraput,9,Palace,1648,3.3,5.0,291,Yes,Many,Local,Evening
710,Eastern,Maharashtra,Pattamundai,25,Beach,1840,4.7,3.1,236,Yes,Few,Local,Evening
711,Western,Delhi,Balasore,17,Mosque,1791,2.6,4.8,212,No,Many,Scenic,Afternoon
712,Northern,Delhi,Amravati,46,Mosque,1629,3.3,4.6,373,No,None,Local,Morning
713,Eastern,Karnataka,Balasore,48,Park,1965,2.2,4.4,245,No,Few,Religious,Afternoon
714,Southern,Karnataka,Sangli,49,Mosque,2004,2.5,4.0,378,Yes,Few,Recreational,Evening
715,Western,Delhi,Shivamogga,35,Market,1512,4.6,4.9,391,No,Few,Local,Afternoon
716,Eastern,Gujarat,Morbi,20,Mosque,1788,2.4,3.0,263,Yes,Many,Recreational,Evening
717,Eastern,Kerala,Brahmapur,12,Monument,1887,2.3,4.1,461,Yes,Many,Scenic,Morning
718,Northern,Delhi,Rohtak,24,Mosque,1531,2.1,3.7,357,No,Few,Scenic,Evening
719,Southern,Maharashtra,Pattamundai,22,Market,1828,2.9,3.7,357,No,Many,Historical,Morning
720,Southern,Odisha,Pathanamthitta,9,Mosque,1817,3.3,4.8,460,Yes,Few,Local,Morning
721,Northern,Uttar Pradesh,Jharsuguda,37,Garden,1723,2.3,4.5,460,No,None,Recreational,Morning
722,Western,Kerala,Panipat,26,Market,1983,2.2,4.3,415,No,Many,Scenic,Morning
723,Northern,Kerala,Brahmapur,16,Palace,1917,2.9,3.8,202,No,Few,Local,Afternoon
724,Western,Odisha,Bahadurgarh,42,Park,1858,3.4,4.5,357,Yes,Many,Scenic,Evening
725,Eastern,Kerala,Kottayam,13,Palace,1577,2.2,3.0,208,No,Few,Scenic,Morning
726,Eastern,West Bengal,Rohtak,13,Garden,1599,2.9,4.6,256,No,Few,Scenic,Afternoon
727,Eastern,Odisha,Haldia,39,Garden,1902,3.2,3.9,449,Yes,None,Recreational,Afternoon
728,Eastern,Gujarat,Bahadurgarh,20,Mosque,1781,4.3,3.6,207,Yes,Many,Historical,Evening
729,Western,Delhi,Raichur,37,Mosque,1995,2.1,4.7,473,No,None,Scenic,Evening
730,Eastern,Delhi,Latur,23,Mosque,1809,3.7,3.1,205,Yes,Few,Religious,Evening
731,Northern,Odisha,Rewari,45,Garden,1970,4.8,3.7,229,No,None,Local,Afternoon
732,Northern,Maharashtra,Koraput,21,Park,1591,2.1,4.8,314,No,Few,Recreational,Afternoon
733,Southern,Delhi,Faizabad,32,Mosque,1866,4.7,4.0,335,Yes,None,Recreational,Morning
734,Eastern,Karnataka,Bardhaman,25,Garden,1986,4.6,3.5,446,No,Many,Scenic,Afternoon
735,Southern,West Bengal,Haldia,14,Market,1897,4.1,3.1,290,Yes,Many,Religious,Morning
736,Eastern,Karnataka,Rayagada,36,Park,1945,2.2,3.2,332,Yes,Many,Scenic,Afternoon
737,Western,Maharashtra,Mehsana,50,Garden,1726,4.5,4.0,232,Yes,Many,Scenic,Evening
738,Western,West Bengal,Brahmapur,1,Mosque,1733,4.6,3.8,442,No,Many,Local,Afternoon
739,Western,Kerala,Rewari,18,Garden,1589,3.8,3.6,482,Yes,None,Scenic,Evening
740,Southern,Gujarat,Brahmapur,27,Mosque,1670,3.9,3.1,444,Yes,Many,Local,Afternoon
741,Northern,Delhi,Jhansi,46,Mosque,2015,3.8,4.1,255,No,None,Historical,Afternoon
742,Southern,Uttar Pradesh,Sangli,22,Park,1706,3.6,4.6,463,No,Few,Local,Morning
743,Northern,West Bengal,Hisar,2,Garden,1550,4.3,4.6,363,Yes,Many,Religious,Morning
744,Northern,Uttar Pradesh,Sonipat,40,Palace,1675,3.6,3.3,451,Yes,Few,Recreational,Morning
745,Southern,West Bengal,Bardhaman,5,Garden,1789,4.8,3.3,298,No,None,Local,Morning
746,Southern,Odisha,Jamnagar,22,Beach,1609,2.3,3.8,266,Yes,None,Scenic,Morning
747,Southern,Kerala,Thrissur,20,Monument,1597,3.5,3.6,256,No,Many,Historical,Evening
748,Southern,Delhi,Sonipat,36,Beach,1953,2.7,3.2,459,No,Many,Recreational,Evening
749,Eastern,Delhi,Rewari,42,Park,1949,2.3,4.8,393,No,None,Historical,Morning
750,Eastern,Uttar Pradesh,Basti,26,Park,1802,2.5,3.3,451,No,None,Local,Afternoon
751,Northern,Kerala,Bargarh,3,Park,1729,2.5,3.2,434,No,Many,Local,Morning
752,Southern,Karnataka,Raichur,46,Monument,1675,2.4,3.1,370,Yes,None,Local,Morning
753,Southern,Maharashtra,Sonipat,7,Garden,1953,3.6,4.4,470,Yes,None,Scenic,Morning
754,Northern,West Bengal,Navsari,2,Monument,1916,3.5,3.2,492,Yes,None,Recreational,Evening
755,Northern,Delhi,Jamnagar,14,Market,1727,2.6,3.8,453,No,Few,Recreational,Afternoon
756,Northern,Maharashtra,Krishnanagar,12,Mosque,1637,2.7,4.7,482,Yes,Many,Local,Afternoon
757,Eastern,Uttar Pradesh,Brahmapur,6,Market,1873,3.9,3.2,336,No,Few,Local,Evening
758,Northern,West Bengal,Etawah,42,Monument,1565,5.0,3.8,269,Yes,None,Local,Morning
759,Western,West Bengal,Basti,40,Beach,1649,4.1,4.2,391,No,Few,Scenic,Afternoon
760,Western,West Bengal,Rayagada,25,Garden,1501,4.8,3.2,496,Yes,Many,Historical,Afternoon
761,Eastern,West Bengal,Rewari,50,Beach,1828,2.1,3.2,461,No,Few,Scenic,Afternoon
762,Northern,Kerala,Panipat,11,Palace,1913,3.6,3.3,446,No,Many,Scenic,Evening
763,Southern,Gujarat,Amravati,15,Market,1676,3.3,4.2,385,Yes,Many,Recreational,Evening
764,Eastern,Gujarat,Jamnagar,44,Mosque,1850,4.5,3.3,296,Yes,None,Scenic,Afternoon
765,Southern,Uttar Pradesh,Bidar,15,Beach,1954,2.7,3.7,256,Yes,Many,Local,Evening
766,Southern,Maharashtra,Mehsana,34,Beach,1681,3.7,3.3,379,No,Few,Scenic,Evening
767,Eastern,Odisha,Jamnagar,12,Garden,1985,3.7,3.7,351,No,Many,Scenic,Afternoon
768,Western,Karnataka,Faizabad,37,Market,1560,2.8,3.3,352,No,Few,Recreational,Morning
769,Eastern,Gujarat,Hassan,10,Park,1736,4.0,3.2,456,Yes,Few,Recreational,Morning
770,Northern,Gujarat,Malda,14,Beach,1531,3.1,4.0,469,Yes,Few,Scenic,Evening
771,Southern,Maharashtra,Kottayam,40,Garden,1839,4.6,4.4,227,No,None,Local,Afternoon
772,Northern,Gujarat,Gulbarga,23,Beach,1589,4.6,3.0,309,Yes,Few,Historical,Afternoon
773,Southern,Uttar Pradesh,Krishnanagar,35,Park,1556,4.4,4.6,288,Yes,None,Historical,Afternoon
774,Eastern,Delhi,Akola,25,Monument,1502,2.0,3.9,471,No,Many,Local,Evening
775,Southern,Odisha,Palakkad,38,Garden,1557,2.6,5.0,308,Yes,Many,Scenic,Evening
776,Eastern,Odisha,Haldia,17,Park,1579,3.5,4.2,466,Yes,None,Local,Morning
777,Northern,Kerala,Jharsuguda,13,Garden,1565,3.4,4.2,219,No,Many,Religious,Afternoon
778,Western,Kerala,Bardhaman,27,Market,1523,4.8,4.6,416,No,Few,Recreational,Afternoon
779,Northern,West Bengal,Bahadurgarh,2,Palace,1632,4.8,4.7,257,Yes,Few,Recreational,Evening
780,Eastern,Maharashtra,Navsari,17,Market,1729,3.0,3.1,375,No,Few,Local,Afternoon
781,Northern,Uttar Pradesh,Barasat,42,Market,1784,4.8,3.8,339,Yes,Few,Religious,Afternoon
782,Eastern,Karnataka,Krishnanagar,15,Park,1726,2.5,3.5,236,Yes,Few,Scenic,Morning
783,Northern,Kerala,Pathanamthitta,36,Mosque,1528,4.6,3.5,395,Yes,None,Religious,Evening
784,Northern,Gujarat,Sangli,8,Beach,1880,4.9,3.4,205,No,Many,Historical,Evening
785,Northern,Uttar Pradesh,Hisar,21,Monument,1984,2.3,4.1,474,Yes,None,Local,Morning
786,Northern,Delhi,Bidar,4,Mosque,1621,4.9,4.2,483,No,Few,Scenic,Morning
787,Southern,Gujarat,Hisar,6,Garden,1701,2.2,4.8,499,Yes,Few,Scenic,Afternoon
788,Northern,Delhi,Jhansi,29,Market,1913,2.1,3.3,378,No,None,Recreational,Morning
789,Eastern,Gujarat,Bidar,9,Palace,1823,4.6,4.3,254,Yes,Few,Local,Evening
790,Western,Maharashtra,Rewari,6,Park,1817,3.5,3.8,391,Yes,Few,Religious,Evening
791,Eastern,Karnataka,Haldia,32,Monument,1613,4.3,4.4,289,Yes,Few,Recreational,Evening
792,Southern,Uttar Pradesh,Anand,17,Mosque,1924,4.2,3.7,277,No,Many,Recreational,Afternoon
793,Northern,Delhi,Saharanpur,13,Market,1849,4.6,4.6,494,No,None,Scenic,Evening
794,Western,West Bengal,Pathanamthitta,30,Mosque,1967,3.3,4.7,481,No,Many,Recreational,Evening
795,Eastern,Karnataka,Sangli,4,Monument,1880,2.1,3.5,384,Yes,Many,Local,Morning
796,Western,Kerala,Valsad,31,Palace,1732,3.1,3.9,415,Yes,Few,Recreational,Morning
797,Western,Uttar Pradesh,Pattamundai,8,Mosque,1769,3.7,4.2,320,Yes,Many,Religious,Evening
798,Southern,Uttar Pradesh,Mehsana,40,Monument,1688,2.6,3.5,304,Yes,Many,Recreational,Morning
799,Eastern,Uttar Pradesh,Morbi,24,Monument,1905,4.9,4.0,236,Yes,None,Religious,Evening
800,Western,Kerala,Jamnagar,16,Monument,1510,2.3,4.5,398,Yes,Few,Historical,Morning
801,Eastern,Karnataka,Jamnagar,49,Park,1657,4.4,4.0,275,Yes,Few,Religious,Afternoon
802,Southern,Uttar Pradesh,Mysuru,4,Beach,1658,3.4,3.6,246,No,Many,Recreational,Morning
803,Eastern,Delhi,Jharsuguda,7,Market,1613,2.8,4.0,370,Yes,None,Religious,Morning
804,Eastern,Karnataka,Krishnanagar,12,Monument,1534,4.3,3.2,451,Yes,Many,Historical,Morning
805,Southern,Odisha,Rohtak,2,Garden,1748,2.0,3.1,202,Yes,Few,Recreational,Afternoon
806,Western,Odisha,Idukki,21,Park,1891,4.1,3.4,246,No,None,Scenic,Morning
807,Southern,Odisha,Kharagpur,31,Garden,1992,4.3,4.3,475,No,None,Recreational,Morning
808,Southern,Karnataka,Faizabad,11,Garden,1605,3.8,4.6,277,No,None,Local,Morning
809,Northern,West Bengal,Bahadurgarh,29,Garden,1997,2.1,3.6,426,Yes,Few,Scenic,Morning
810,Eastern,Gujarat,Hassan,15,Garden,2014,3.4,4.4,372,Yes,Few,Historical,Afternoon
811,Southern,Maharashtra,Koraput,30,Park,1513,4.4,4.2,449,No,Many,Scenic,Evening
812,Western,Karnataka,Jhansi,41,Palace,1950,4.1,4.7,493,Yes,Few,Historical,Morning
813,Western,Odisha,Alappuzha,43,Garden,1531,3.7,4.6,206,Yes,None,Local,Evening
814,Western,Maharashtra,Patan,14,Palace,1712,3.6,4.9,207,No,Many,Historical,Afternoon
815,Southern,Odisha,Barasat,7,Mosque,1813,4.7,4.8,201,No,None,Recreational,Afternoon
816,Western,Karnataka,Alappuzha,9,Park,1529,2.2,4.1,212,No,Many,Local,Afternoon
817,Northern,Kerala,Balasore,20,Beach,1924,4.0,3.2,480,Yes,Many,Recreational,Evening
818,Eastern,Uttar Pradesh,Alappuzha,24,Market,1607,3.7,4.1,341,No,Many,Religious,Evening
819,Eastern,Delhi,Valsad,27,Palace,1633,3.2,3.2,384,Yes,Few,Scenic,Morning
820,Southern,Kerala,Malda,4,Palace,1527,2.2,4.4,467,Yes,Few,Scenic,Afternoon
821,Southern,Maharashtra,Morbi,21,Park,1807,2.7,3.3,412,No,Few,Historical,Morning
822,Western,Gujarat,Mysuru,49,Monument,1735,3.2,3.5,421,No,Few,Religious,Afternoon
823,Eastern,Uttar Pradesh,Hassan,48,Park,1531,2.8,4.1,406,Yes,Many,Religious,Morning
824,Northern,Karnataka,Bargarh,26,Market,2015,2.2,3.0,418,No,Few,Historical,Afternoon
825,Southern,Gujarat,Hisar,42,Market,1989,3.6,3.2,254,Yes,Many,Scenic,Morning
826,Northern,West Bengal,Valsad,23,Palace,1838,2.4,3.8,384,No,Many,Scenic,Afternoon
827,Eastern,West Bengal,Balasore,32,Mosque,1734,4.9,3.5,455,Yes,None,Local,Afternoon
828,Northern,Maharashtra,Brahmapur,17,Mosque,1813,4.4,4.4,402,Yes,None,Recreational,Morning
829,Western,Uttar Pradesh,Pathanamthitta,9,Park,1507,3.2,3.2,394,Yes,Many,Historical,Afternoon
830,Southern,Delhi,Alappuzha,8,Monument,1514,2.7,3.7,431,Yes,Few,Local,Afternoon
831,Eastern,Maharashtra,Etawah,25,Park,1715,2.6,5.0,381,No,Many,Scenic,Afternoon
832,Northern,West Bengal,Bahadurgarh,12,Beach,1899,3.2,3.6,329,Yes,Many,Religious,Morning
833,Western,West Bengal,Valsad,2,Mosque,1907,4.7,4.7,317,No,Few,Local,Morning
834,Southern,Odisha,Thrissur,26,Beach,1720,3.0,3.9,241,No,Few,Scenic,Afternoon
835,Northern,West Bengal,Hisar,30,Park,1702,2.7,3.4,241,No,None,Religious,Morning
836,Eastern,Odisha,Alappuzha,21,Palace,1557,2.8,3.2,341,Yes,Many,Historical,Afternoon
837,Southern,Maharashtra,Raichur,33,Park,1820,3.9,5.0,217,Yes,None,Local,Evening
838,Southern,Uttar Pradesh,Jharsuguda,42,Market,1532,2.3,4.1,226,Yes,Many,Historical,Evening
839,Southern,Maharashtra,Shivamogga,6,Park,1630,2.6,4.0,430,No,Few,Recreational,Afternoon
840,Eastern,Maharashtra,Bargarh,48,Garden,1548,4.9,3.2,442,No,Many,Recreational,Afternoon
841,Western,Odisha,Morbi,42,Mosque,1685,4.9,4.3,383,Yes,None,Historical,Afternoon
842,Northern,Delhi,Kharagpur,13,Beach,1598,4.7,3.1,314,No,Few,Historical,Morning
843,Northern,Gujarat,Anand,25,Monument,1640,4.5,3.5,387,No,None,Religious,Morning
844,Southern,Kerala,Alappuzha,14,Market,1808,2.3,4.7,447,Yes,None,Recreational,Evening
845,Western,Gujarat,Valsad,41,Park,1917,2.5,4.6,426,Yes,None,Historical,Afternoon
846,Southern,Uttar Pradesh,Thrissur,6,Beach,1616,4.0,4.1,484,No,Many,Local,Evening
847,Southern,Karnataka,Raichur,19,Beach,1812,2.1,4.4,387,Yes,Many,Recreational,Afternoon
848,Eastern,Uttar Pradesh,Jamnagar,19,Market,1876,3.0,4.5,414,No,Many,Scenic,Afternoon
849,Eastern,West Bengal,Raichur,6,Monument,1612,4.6,4.4,264,No,None,Scenic,Afternoon
850,Eastern,Karnataka,Jhansi,2,Monument,2016,2.2,3.5,252,No,Few,Religious,Evening
851,Northern,Uttar Pradesh,Kasaragod,21,Garden,1592,3.2,3.2,256,Yes,Few,Historical,Morning
852,Southern,Odisha,Agra,1,Market,1826,3.1,3.5,462,Yes,None,Local,Evening
853,Western,Kerala,Palakkad,31,Palace,1845,4.7,3.8,363,Yes,Many,Recreational,Morning
854,Western,Delhi,Basti,50,Mosque,1603,2.8,3.2,253,No,None,Historical,Afternoon
855,Eastern,Kerala,Mehsana,15,Monument,1502,2.2,3.5,214,No,None,Local,Evening
856,Western,Karnataka,Bargarh,23,Palace,1615,3.9,3.3,372,No,Many,Recreational,Evening
857,Western,Delhi,Rohtak,20,Garden,1693,3.5,4.4,215,No,Many,Recreational,Morning
858,Northern,Odisha,Faizabad,6,Garden,1820,2.8,4.5,220,No,Many,Religious,Morning
859,Eastern,Odisha,Mathura,8,Mosque,1910,3.1,4.6,299,Yes,None,Religious,Afternoon
860,Eastern,West Bengal,Jalna,39,Monument,1507,2.1,4.9,272,Yes,Many,Religious,Afternoon
861,Eastern,Odisha,Balasore,1,Monument,1875,3.5,4.4,286,Yes,Few,Recreational,Morning
862,Northern,Maharashtra,Bidar,9,Palace,1635,3.8,4.1,230,No,Few,Historical,Afternoon
863,Eastern,Delhi,Sangli,4,Palace,1727,3.1,5.0,452,No,Few,Recreational,Morning
864,Northern,Karnataka,Akola,36,Garden,1714,3.3,3.6,405,Yes,Many,Religious,Afternoon
865,Western,Gujarat,Valsad,6,Beach,1574,2.9,4.8,250,No,Many,Religious,Afternoon
866,Northern,Karnataka,Latur,22,Palace,1928,4.2,4.8,314,Yes,Few,Historical,Evening
867,Northern,Maharashtra,Hisar,48,Monument,1516,2.2,4.2,256,Yes,None,Historical,Afternoon
868,Northern,Uttar Pradesh,Mysuru,39,Palace,1541,3.8,3.5,431,Yes,Few,Historical,Morning
869,Eastern,West Bengal,Palakkad,9,Palace,1677,3.4,3.1,442,No,Many,Scenic,Afternoon
870,Southern,Delhi,Latur,35,Garden,1929,2.2,4.8,313,No,Many,Historical,Morning
871,Northern,Gujarat,Latur,29,Monument,1681,3.0,4.3,240,No,Many,Scenic,Evening
872,Northern,Gujarat,Bargarh,33,Mosque,2010,4.1,3.8,431,No,None,Historical,Morning
873,Eastern,West Bengal,Shivamogga,18,Garden,1756,3.8,3.2,266,Yes,Many,Historical,Morning
874,Western,Karnataka,Raichur,46,Mosque,1719,3.4,3.7,436,No,Many,Recreational,Morning
875,Southern,Karnataka,Navsari,18,Market,1835,3.1,4.5,240,No,None,Historical,Afternoon
876,Northern,Kerala,Amravati,29,Garden,1726,2.4,3.6,482,Yes,Many,Local,Evening
877,Southern,Gujarat,Panipat,47,Garden,1646,2.2,4.1,228,Yes,Many,Historical,Afternoon
878,Western,Odisha,Anand,25,Palace,1901,3.2,3.6,426,No,Many,Religious,Evening
879,Northern,Karnataka,Barasat,42,Beach,1618,4.3,3.2,380,Yes,None,Local,Morning
880,Southern,Odisha,Brahmapur,45,Beach,1883,3.0,4.7,242,Yes,Many,Religious,Morning
